Result,Word,Lemma,Analysis,Context
A,ئاماژەی,ئاماژە,«ئاماژە»[NOUN]«ی»{Person=3}{Number=Sing},واشنتن پۆست ئاماژەی داوەتە نامەیەکی ئیدریس بۆ جان کێری
A,ئاماژەیان,ئاماژە,«ئاماژە»[NOUN]«یان»{Person=3}{Number=Plur},ئاماژەیان بەوە کردووە
A,ئامانجی,ئامانج,«ئامانج»[NOUN]«ی»{Clitic=Izafe},ئامانجی سەرەکیمان لە ڕێکخستنی ئەو وۆرکشۆپە
A,ئانا,ئانا,«ئانا»[PROPN]{NE=Person},ئانا تێررێس Anna Therese، ڕۆژنامەنووسێکی ئازادە.
A,ئاو,ئاو,«ئاو»[NOUN],خواردنەوەی ئاو کاریگەری لەسەر دابەزاندنی کێش هەیە
A,ئاوا,ئاوا,«ئاوا»[ADV],ئاوا لێمدا! ئاوا کوشتم! ئیتر چیتان دەوێت؟
A,ئایا,ئایا,«ئایا»[SCONJ],ئایا ئاوی تفت لە ئاوی ئاسایی باشترە؟
A,ئایینی,ئایین,«ئایین»[NOUN]«ی»{Clitic=Izafe},ئێزیدیایەتی و زمانی ئایینی نەتەوەیی
A,ئەحمەد,ئەحمەد,«ئەحمەد»[PROPN]{NE=Person},وتووێژ لەگەڵ ئەحمەد شەهید لە بەرنامەی دەنگی ئەمریکا
A,ئەحمەدە,ئەحمەد,«ئەحمەد»[PROPN]{NE=Person}«ە»{Copula}{Person=3}{Number=Sing},کە مەستم ئەمشەو لە نووسینی هەردی ئەحمەدە
A,ئەخڵەتێنێ,خەڵەتان,«دە»{Tense=Pres}{Mood=Ind}{NS}«خەڵەت»{NS}[VERB]«ێن»{Subcat=Tran}{Voice=Cau}«ێت»{Person[subj]=3}{Number[subj]=Sing}{NS},بە گفتولفت، پیاو ئەخڵەتێنێ و ڕۆژی کردەوە خۆی بێ دەنگ ئەکا
A,ئەدەبیی,ئەدەبی,«ئەدەبی»[ADJ]«ی»{Clitic=Izafe},سەرکەوتووانی یەکەم خولی فێستیڤاڵی ئەدەبیی «کەڤاڵ» دیاری کران
A,ئەردۆغان,ئەردۆغان,«ئەردۆغان»[PROPN]{NE=Person},ڕۆحانی لەگەڵ ئەردۆغان کۆ دەبێتەوە
A,ئەرکەیان,ئەرک,«ئەرک»[NOUN]«ە»{Clitic=DiscontinuousDem}«یان»{Person=3}{Number=Plur},تواناییی ئەنجامدانی ئەو ئەرکەیان هەیە یان نا.
A,ئەسپەکان,ئەسپ,«ئەسپ»[NOUN]«ەکە»{Definite=Def}«ان»{Number=Plur},ئەسپەکان حەزیان لە خۆرە
A,ئەستەم,ئەستەم,«ئەستەم»[ADJ],وەک چۆن ئیشکردنی پێکەوەیی ڕۆشنبیر و سیاسی بۆتە ئەستەم.
A,ئەشک,ئەشک,«ئەشک»[NOUN],ئەشک و ئەوین
A,ئەشکەنجەدان,ئەشکەنجەدان,«ئەشکەنجە»«دا»[NOUN]«ن»{Masdar}{Compound},لە زیندانی ئیڤینی شاری تاران کردەوەی ناشیرین و ئەشکەنجەدان بوونی هەیە
A,ئەفریقا,ئەفریقا,«ئەفریقا»[PROPN]{NE=Location},لەگەڵ هەڵبژاردەی باشووری ئەفریقا بە دوو گۆڵ بەرامبەر گۆڵێک دۆڕا.
A,ئەفڕێت,فڕین,«دە»{Tense=Pres}{Mood=Ind}{NS}«فڕ»[VERB]{Subcat=Intr}«ێت»{Person=3}{Number=Sing},ئایا بزن ئەفڕێت؟
A,ئەکبەر,ئەکبەر,«ئەکبەر»[PROPN]{NE=Person},ناونووسیکردنی ئەکبەر هاشمی ڕەفسنجانی بە کاندیدای هەڵبژاردنەکانی سەرکۆماری ئێران
A,ئەگەر,ئەگەر,«ئەگەر»[SCONJ],تەنانەت ئەگەر بمانەوێت کۆمەڵگایەکی سەلەفییش دابمەزرێنین
A,ئەڵمانیا,ئەڵمانیا,«ئەڵمانیا»[PROPN]{NE=Location},بەریتانیا و ئەڵمانیا ژمارەی هێزەکانیان لە ئەفغانستان کەم دەکەنەوە
A,ئەڵێ,گوتن,«دە»{Tense=Pres}{Mood=Ind}{NS}«ڵێ»[VERB]{Subcat=Tran}«ێت»{Person[subj]=3}{Number[subj]=Sing}{NS},هەیانە لە سێ چوار جوملەدا دوو جار ئەڵێ: ئەسپی خۆمان تاو بدەین.
A,ئەم,ئەم,«ئەم»[ADJ],بووە مایەی ئەوەی ئەم دیدارەی لەگەڵدا ساز بدەم
A,ئەمریکا,ئەمریکا,«ئەمریکا»[PROPN]{NE=Location},ئەمریکا نوێژی بۆ ئاشتی و سەربەخۆیی کورد کرد
A,ئەمریکایە,ئەمریکا,«ئەمریکا»[PROPN]{NE=Location}«ە»{Copula}{Person=3}{Number=Sing},هیگل یەکەم وەزیری بەرگری ئەمریکایە لەپاش کشانەوەی سوپای وڵاتەکەی سەردانی عێراق دەکات
A,ئەمریکی,ئەمریکی,«ئەمریکی»[ADJ]{NE=Demonym},بەرەی دژ بە تیرۆریستان لە سەرتاپای جیهان فراوانتر بوو
A,ئەمساڵدا,ئەمساڵ,«ئەمساڵ»[NOUN]«دا»{Clitic=Da}{AdpType=Circ},لە ماوەی چوار مانگی ڕابردووی ئەمساڵدا، تەنیا لە شاری بەغدا 1384 کەس کوژراون
A,ئەمشەو,ئەمشەو,«ئەمشەو»[ADV],ئەمشەو ئارسنال و چێڵسی یاری لووتکە ئەنجام ئەدەن
A,ئەمنی,ئەمنی,«ئەمنی»[ADJ],کەرکوک: سەرەڕای پلانی ئەمنی، سێ تەقینەوە ڕوو دەدات
A,ئەمە,ئەم,«ئەم»[PRON]{PronType=Dem}«ە»{Clitic=DiscontinuousDem},ئەمە کاری شەیتانە.
A,ئەمینداری,ئەمیندار,«ئەمیندار»[NOUN]«ی»{Clitic=Izafe},کۆبوونەوەی ئەمینداری گشتی لێژنەی ئۆڵۆمپی کوردستان لەگەڵ یەکێتییە وەرزشییەکان
A,ئەنجامدانی,ئەنجامدان,«ئەنجام»«دا»[NOUN]«ن»{Masdar}{Compound}«ی»{Clitic=Izafe},تاکە ڕێگا بۆ کۆتاییهێنان بە قەیرانی سوریا، ئەنجامدانی هەڵبژاردنێکی ئازاد و دادپەوەرانەیە
A,ئەنجامەکە,ئەنجام,«ئەنجام»[NOUN]«ەکە»{Definite=Def},لە ڕێگەی کۆمپانی ئەنجامەکە یەکسان بکەنەوە
A,ئەنجامی,ئەنجام,«ئەنجام»[NOUN]«ی»{Person[psor]=3}{Number[psor]=Sing},کوودەتاکەی 17 ی نیسانی ئەوان ئەنجامی چی دەبێت؟
A,ئەنجومەنی,ئەنجوومەن,«ئەنجوومەن»{NS}[NOUN]«ی»{Clitic=Izafe},بەتایبەتی ئەوەی پەیوەندی بە هەڵوەشانەوەی ئەنجومەنی وەزیرانەوە هەبێت
A,ئەنجوومەنانەی,ئەنجوومەن,«ئەنجوومەن»[NOUN]«ان»{Number=Plur}«ە»{Clitic=DiscontinuousDem}«ی»{Clitic=Izafe},ئەو ئەنجوومەنانەی کە هاریکاری هێزەکانی ئەمەریکایان کرد 
A,ئەندازیار,ئەندازیار,«ئەندازیار»[NOUN],ئەندازیار دیوێکی تری زانستی ئەندازیاری
A,ئەندازیاری,ئەندازیار,«ئەندازیار»[NOUN]«ی»{Clitic=Izafe},ئێران دەڵێت ئەندازیاری شەڕی زەمینی عێراق بووە
A,ئەنقەرە,ئەنقەرە,«ئەنقەرە»[PROPN]{NE=Location},حکومەتی ئەنقەرە دیاری سەری ساڵی بۆ هێناین
A,ئەوا,ئەوا,«ئەوا»[ADV],ئەگەر وەهاش نەکات ئەوا ڕێوشوێنی پێویست دەگرنە بەر.
A,ئەوانەی,ئەو,«ئەو»[PRON]{PronType=Dem}«ان»{Number=Plur}«ە»{Clitic=DiscontinuousDem}«ی»{Clitic=Izafe},ئەوانەی کە بە ئاسمانیشدا ئەفڕن بێ باڵیان ئەکەن.
A,ئەوەش,ئەو,«ئەو»[PRON]{PronType=Dem}«ە»{Clitic=DiscontinuousDem}«یش»{Clitic=îş},ئەوەش مەرجی سەرکەوتنی ڕاهێنەرە.
A,ئەوەی,ئەو,«ئەو»[PRON]{PronType=Dem}«ە»{Clitic=DiscontinuousDem}«ی»{Clitic=Izafe},ئەوەی بمەوێت دەیکەم.
A,ئەی,ئەی,«ئەی»[PART]{Letter},نا ئەی هەنیەت وەک مانگەشەو!
A,ئومێد,ئومێد,«ئومێد»[PROPN]{NE=Person},کێ هاوکاری تەقینەوەکەی هەولێر بوو؟ ئومێد پشدەری
A,ئۆپەراسیۆنی,ئۆپەراسیۆن,«ئۆپەراسیۆن»[NOUN]«ی»{Clitic=Izafe},چەلیک لە چوارچێوەی ئۆپەراسیۆنی «ئاگری» دەستبەسەر کرابوو.
A,ئۆپۆزسیۆن,ئۆپۆزیسیۆن,«ئۆپۆزیسیۆن»{NS}[NOUN],ئۆپۆزسیۆن و هەڵەیەکی گەورە
A,ئۆجالان,ئۆجەلان,«ئۆجەلان»{NS}[PROPN]{NE=Person},ئۆجالان ئیدانەی ڕووداوی گیان لەدەستدانی کرێکارانی ئەستانبوڵی کردووە
A,ئۆکرانیا,ئۆکراینا,«ئۆکراینا»{NS}[PROPN]{NE=Location},لە ئۆکرانیا کوردەکان ماڵی کوردانیان دامەزراندووە
A,ئۆگستی,ئاگۆست,«ئاگۆست»{NS}[PROPN]{NE=Date}«ی»{Clitic=Izafe},هەر لە مانگی ئۆگستی (ئاب) ئەمساڵدا
A,ئۆمەران,ئۆمەران,«ئۆمەران»[PROPN]{NE=Location},سەرپەرشتی خوێندنگاکانی چۆمان، ناحیەی قەسرێ و گەلاڵە و سمێلان و حاجی ئۆمەران دەکات.
A,ئیبراهیم,ئیبراهیم,«ئیبراهیم»[PROPN]{NE=Person},ئێڤار ئیبراهیم، سەرۆکی لیژنەی ژنان و ئافرەتانی پەرلەمانی کوردستان
A,ئیتالیا,ئیتاڵیا,«ئیتاڵیا»{NS}[PROPN]{NE=Location},نزیکیان بکاتەوە لە نازناوی خولی ئیتالیا.
A,ئیتتلاعاتی,ئیتلاعات,«ئیتلاعات»{NS}[PROPN]{NE=Organ}«ی»{Clitic=Izafe},وێ دەچێت مەئمووری ئیدارەی ئیتتلاعاتی کۆماری ئیسلامی بن
A,ئیدارەی,ئیدارە,«ئیدارە»[NOUN]«ی»{Clitic=Izafe},هەنووکە لە ئیدارەی ئیتلاعاتی شاری کامیاراندا دەسبەسەرن
A,ئیسلامیی,ئیسلامی,«ئیسلامی»[ADJ]«ی»{Clitic=Izafe},گوتەبێژی وەزارەتی دەرەوەی کۆماری ئیسلامی ئێران بەتوندی ئەو داخوازییانەی ڕەت کردەوە
A,ئیعدامی,ئیعدام,«ئیعدام»[NOUN]«ی»{Clitic=Izafe},یەکیەتی ئوروپا داوای کرد حوکمی ئیعدامی پێنج هەڵسووراوی کورد ڕابگیرێت
A,ئیمارات,ئیمارات,«ئیمارات»[PROPN]{NE=Location},هەڵوێستی ئیمارات لە هەمبەر سەفەری ئەحمەدینژاد بۆ دوڕگەی ئەبوومووسا
A,ئێران,ئێران,«ئێران»[PROPN]{NE=Location},بڕەکەی دواتری بە نرخێکی کەم ئاودیوی ئێران و تورکیا دەکات.
A,ئێستا,ئێستا,«ئێستا»[NOUN],تاوەکو ئێستا لە ناوچە دابڕێنراوەکان هیچ ڕووبەڕووبوونەوەیەک لەگەڵ هێزەکانی پێشمەرگە ڕووی نەداوە
A,ئێمە,ئێمە,«ئێمە»{Number=Plur}{Person=1}[PRON]{PronType=Prs},جەژنەکانی بێباوەڕان داهێنراوێکی تازەن بە بەراورد بە پێش خۆیان و حوکمیان لای ئێمە هەر یەکێکە.
A,باران,باران,«باران»[NOUN],بەلام خۆشبەختانە ڕێژەی باران لەمساڵدا لەچاو ساڵانی تردا زۆر زیادی کردووە
A,بارانی,باران,«باران»[NOUN]«ی»{Clitic=Izafe},سینگی نەرمت هەوری پڕ بارانی ئەشق و من زەویم
A,بارەکەیاندا,بار,«بار»[NOUN]«ەکە»{Definite=Def}«یان»{Person[psor]=3}{Number[psor]=Plur}«دا»{Clitic=Da}{AdpType=Circ},دەست بەسەر بارەکەیاندا داگرێ.
A,بارودۆخە,بارودۆخ,«بارودۆخ»[NOUN]«ە»{Clitic=DiscontinuousDem},ئەو بارودۆخە ژمارەیەک لە گوندنشینانی سەرپێڵی زەهاوی لەمەڕ دەربڕینی ناڕەزایەتی هێناوەتەبەر دەرکی فرمانداریی ئەو شارە
A,بارودۆخێکی,بارودۆخ,«بارودۆخ»[NOUN]«ێک»{Definite=Ind}«ی»{Clitic=Izafe},لە بارودۆخێکی لەم شێوەیەدا، گەر بەشداربوونیش هەبێت، تەندروست نابێت
A,بازرگانییەکانی,بازرگانی,«بازرگانی»[NOUN]«ەکە»{Definite=Def}«ان»{Number=Plur}«ی»{Clitic=Izafe},کچانی نەیجریا قوربانی سادوسەودای کۆمپانیا بازرگانییەکانی نیزامی سەرمایەن!
A,باسە,باس,«باس»[NOUN]«ە»{Copula}{Person=3}{Number=Sing},شایانی باسە
A,باسی,باس,«باس»[NOUN]«ی»{Clitic=Izafe},باسی شەونوێژ
A,باشتر,باش,«باش»[ADJ]«تر»{Degree=Cmp},ئەگەر مامە یەحیا لەجیاتی کۆتر پەپوولەی ڕاگرتایە زۆر باشتر دەبوو.
A,باشترین,باش,«باش»[ADJ]«ترین»{Degree=Cmp},کار دەکەین لەپێناو پێشکەشکردنی باشترین خزمەتگوزاری
A,باشووری,باشوور,«باشوور»[NOUN]«ی»{Clitic=Izafe},حکومەتی هەرێمی باشووری کوردستان ڕێگای لەبەردەم هاوکارییەکان گرتووە
A,باکووری,باکوور,«باکوور»[NOUN]«ی»{Clitic=Izafe},ئەدەبی منداڵانی کورد لە باکووری کوردستان.
A,باڵیۆزخانەیەک,باڵیۆزخانە,«باڵیۆزخانە»[NOUN]«ێک»{Definite=Ind},باڵیۆزخانەیەک کە ئەرک پێسپێرەکەی فەرمانی کوشتنی خەڵک بە تاوانی بێ بنەمای «شەڕ لە گەڵ خودا» دەدا
A,باڵێکی,باڵ,«باڵ»[NOUN]«ێک»{Definite=Ind}«ی»{Clitic=Izafe},لە لایەکی دیکەشەوە دەگوترێت کە داعش باڵێکی توندڕەون کە لە ئەلقاعیدە جیابوونەتەوە
A,بانەوە,بان,«بان»[NOUN]«ەوە»{Clitic=Ewe}{AdpType=Circ},لەسەر بانەوە کەوتنە تەقەکردن لێم
A,باوەڕپێکراو,باوەڕپێکردن,«باوەڕ»«پێ»«کرا»[ADJ]«وو»{PP}{Compound},بەڵام هەوڵ بدە نوێترین ڤێرژنی پرۆگرامەکە وەرگری و زیاتریش هەوڵ بدە لە سایتێکی ناسراو و باوەڕپێکراو وەری بگرە.
A,بایرام,بایرام,«بایرام»[PROPN]{NE=Person},مەلاتیا غەفار بایرام، لە بارەگاکە پشکنین بەردەوام دەکات.
A,بایرن,بایرن,«بایرن»[PROPN]{NE=Organ},بایرن میونخ داهاتی ساڵی ڕابردووی ئاشکرا دەکات
A,بایز,بایز,«بایز»[PROPN]{NE=Person},د. ئەرسەلان بایز پێشوازییکرد لەڕێکخراوی لاوانی سەردەم
A,ببن,بوون,«ب»{Tense=Pres}{Mood=Sub}«ب»[VERB]{Subcat=Intr}«ن»{Person=3}{Number=Plur},بۆ ئەوەی ئۆتۆمبێلەکانی تریش دەرباز ببن.
A,ببنەوە,بوون,«ب»{Tense=Pres}{Mood=Sub}«ب»[VERB]{Subcat=Intr}«ن»{Person=3}{Number=Plur}«ەوە1»{Clitic=Ewe}{AdvType=Postverb},توانیان هەنگاوێک لە قۆناغی داهاتووی ئەو پالەوانێتیە نزیک ببنەوە
